praca,preco_vista,preco_30d,variacao,data
Roraima,293.0,296.0,-7.75,2025-12-27
SP Barretos,317.5,321.0,0.0,2025-12-27
SP Araçatuba,317.5,321.0,0.0,2025-12-27
MG Triângulo,308.5,312.0,-2.69,2025-12-27
MG B.Horizonte,313.5,317.0,-1.27,2025-12-27
MG Norte,308.5,312.0,-2.69,2025-12-27
MG Sul,306.5,310.0,-3.32,2025-12-27
GO Goiânia,308.5,312.0,-2.69,2025-12-27
GO Reg. Sul,306.0,309.0,-3.64,2025-12-27
MS Dourados,309.5,313.0,-2.37,2025-12-27
MS C. Grande,310.5,314.0,-2.06,2025-12-27
MS Três Lagoas,308.5,312.0,-2.69,2025-12-27
RS Oeste (kg),10.6,10.7,0.16,2025-12-27
RS Pelotas (kg),10.7,10.8,1.11,2025-12-27
BA Sul,299.0,302.0,-5.85,2025-12-27
BA Oeste,311.5,315.0,-1.74,2025-12-27
RJ,319.5,323.0,0.63,2025-12-27
MT Sudoeste,287.0,290.0,-9.65,2025-12-27
ES,302.0,305.0,-4.91,2025-12-27
Acre,262.0,265.0,-17.41,2025-12-27
TO Norte,297.0,300.0,-6.49,2025-12-27
TO Sul,297.0,300.0,-6.49,2025-12-27
RO Sudeste,272.0,275.0,-14.24,2025-12-27
PA Paragominas,302.0,305.0,-4.91,2025-12-27
PA Redenção,289.0,292.0,-9.02,2025-12-27
MT Norte,297.0,300.0,-6.49,2025-12-27
Alagoas,302.0,305.0,-4.91,2025-12-27
MA Oeste,297.0,300.0,-6.49,2025-12-27
SC,322.5,326.0,1.58,2025-12-27
PR Noroeste,323.5,327.0,1.9,2025-12-27
MT Sudeste,297.0,300.0,-6.49,2025-12-27
MT Cuiabá*,299.0,302.0,-5.85,2025-12-27
PA Marabá,295.0,298.0,-7.12,2025-12-27
RS Pelotas (kg),10.7,10.8,1.11,2025-12-28
RS Oeste (kg),10.6,10.7,0.16,2025-12-28
MS Três Lagoas,308.5,312.0,-2.69,2025-12-28
MS C. Grande,310.5,314.0,-2.06,2025-12-28
MS Dourados,309.5,313.0,-2.37,2025-12-28
GO Reg. Sul,306.0,309.0,-3.64,2025-12-28
MG B.Horizonte,313.5,317.0,-1.27,2025-12-28
MG Sul,306.5,310.0,-3.32,2025-12-28
MG Norte,308.5,312.0,-2.69,2025-12-28
MG Triângulo,308.5,312.0,-2.69,2025-12-28
SP Araçatuba,317.5,321.0,0.0,2025-12-28
SP Barretos,317.5,321.0,0.0,2025-12-28
BA Sul,299.0,302.0,-5.85,2025-12-28
GO Goiânia,308.5,312.0,-2.69,2025-12-28
BA Oeste,311.5,315.0,-1.74,2025-12-28
MT Norte,297.0,300.0,-6.49,2025-12-28
Roraima,293.0,296.0,-7.75,2025-12-28
MT Sudoeste,287.0,290.0,-9.65,2025-12-28
RJ,319.5,323.0,0.63,2025-12-28
ES,302.0,305.0,-4.91,2025-12-28
Acre,262.0,265.0,-17.41,2025-12-28
TO Norte,297.0,300.0,-6.49,2025-12-28
RO Sudeste,272.0,275.0,-14.24,2025-12-28
PA Paragominas,302.0,305.0,-4.91,2025-12-28
TO Sul,297.0,300.0,-6.49,2025-12-28
PA Marabá,295.0,298.0,-7.12,2025-12-28
Alagoas,302.0,305.0,-4.91,2025-12-28
MA Oeste,297.0,300.0,-6.49,2025-12-28
SC,322.5,326.0,1.58,2025-12-28
PR Noroeste,323.5,327.0,1.9,2025-12-28
MT Sudeste,297.0,300.0,-6.49,2025-12-28
MT Cuiabá*,299.0,302.0,-5.85,2025-12-28
PA Redenção,289.0,292.0,-9.02,2025-12-28
MS Dourados,309.5,313.0,-2.37,2025-12-29
BA Sul,299.0,302.0,-5.85,2025-12-29
RS Pelotas (kg),10.7,10.8,1.11,2025-12-29
RS Oeste (kg),10.6,10.7,0.16,2025-12-29
MS Três Lagoas,308.5,312.0,-2.69,2025-12-29
MS C. Grande,310.5,314.0,-2.06,2025-12-29
GO Reg. Sul,306.0,309.0,-3.64,2025-12-29
BA Oeste,311.5,315.0,-1.74,2025-12-29
MG Sul,306.5,310.0,-3.32,2025-12-29
MG Norte,308.5,312.0,-2.69,2025-12-29
MG B.Horizonte,313.5,317.0,-1.27,2025-12-29
MG Triângulo,308.5,312.0,-2.69,2025-12-29
SP Araçatuba,317.5,321.0,0.0,2025-12-29
SP Barretos,317.5,321.0,0.0,2025-12-29
GO Goiânia,308.5,312.0,-2.69,2025-12-29
MT Norte,297.0,300.0,-6.49,2025-12-29
Roraima,293.0,296.0,-7.75,2025-12-29
MT Cuiabá*,299.0,302.0,-5.85,2025-12-29
MT Sudoeste,287.0,290.0,-9.65,2025-12-29
RJ,319.5,323.0,0.63,2025-12-29
ES,302.0,305.0,-4.91,2025-12-29
Acre,262.0,265.0,-17.41,2025-12-29
TO Sul,297.0,300.0,-6.49,2025-12-29
RO Sudeste,272.0,275.0,-14.24,2025-12-29
PA Paragominas,302.0,305.0,-4.91,2025-12-29
TO Norte,297.0,300.0,-6.49,2025-12-29
PA Marabá,295.0,298.0,-7.12,2025-12-29
Alagoas,302.0,305.0,-4.91,2025-12-29
MA Oeste,297.0,300.0,-6.49,2025-12-29
SC,322.5,326.0,1.58,2025-12-29
PR Noroeste,323.5,327.0,1.9,2025-12-29
MT Sudeste,297.0,300.0,-6.49,2025-12-29
PA Redenção,289.0,292.0,-9.02,2025-12-29
MS Dourados,309.5,313.0,-2.37,2025-12-30
BA Sul,299.0,302.0,-5.85,2025-12-30
RS Pelotas (kg),10.7,10.8,1.11,2025-12-30
RS Oeste (kg),10.6,10.7,0.16,2025-12-30
MS Três Lagoas,308.5,312.0,-2.69,2025-12-30
MS C. Grande,310.5,314.0,-2.06,2025-12-30
GO Reg. Sul,306.0,309.0,-3.64,2025-12-30
BA Oeste,311.5,315.0,-1.74,2025-12-30
MG Sul,306.5,310.0,-3.32,2025-12-30
MG Norte,308.5,312.0,-2.69,2025-12-30
MG B.Horizonte,313.5,317.0,-1.27,2025-12-30
MG Triângulo,308.5,312.0,-2.69,2025-12-30
SP Araçatuba,317.5,321.0,0.0,2025-12-30
SP Barretos,317.5,321.0,0.0,2025-12-30
GO Goiânia,308.5,312.0,-2.69,2025-12-30
MT Norte,297.0,300.0,-6.49,2025-12-30
Roraima,293.0,296.0,-7.75,2025-12-30
MT Cuiabá*,299.0,302.0,-5.85,2025-12-30
RJ,319.5,323.0,0.63,2025-12-30
ES,302.0,305.0,-4.91,2025-12-30
Acre,262.0,265.0,-17.41,2025-12-30
TO Norte,297.0,300.0,-6.49,2025-12-30
TO Sul,297.0,300.0,-6.49,2025-12-30
RO Sudeste,272.0,275.0,-14.24,2025-12-30
PA Paragominas,302.0,305.0,-4.91,2025-12-30
MT Sudoeste,287.0,290.0,-9.65,2025-12-30
PA Marabá,295.0,298.0,-7.12,2025-12-30
Alagoas,302.0,305.0,-4.91,2025-12-30
MA Oeste,297.0,300.0,-6.49,2025-12-30
SC,322.5,326.0,1.58,2025-12-30
PR Noroeste,323.5,327.0,1.9,2025-12-30
MT Sudeste,297.0,300.0,-6.49,2025-12-30
PA Redenção,291.0,294.0,-8.39,2025-12-30
BA Oeste,311.5,315.0,-1.11,2025-12-31
BA Sul,299.0,302.0,-5.25,2025-12-31
RS Pelotas (kg),10.7,10.8,1.75,2025-12-31
RS Oeste (kg),10.6,10.7,0.8,2025-12-31
MS Três Lagoas,308.5,312.0,-2.07,2025-12-31
MS C. Grande,310.5,314.0,-1.43,2025-12-31
MS Dourados,309.5,313.0,-1.75,2025-12-31
MG Sul,306.5,310.0,-2.71,2025-12-31
GO Goiânia,308.5,312.0,-2.07,2025-12-31
MG Norte,308.5,312.0,-2.07,2025-12-31
MG B.Horizonte,313.5,317.0,-0.64,2025-12-31
MG Triângulo,308.5,312.0,-2.07,2025-12-31
SP Araçatuba,315.5,319.0,0.0,2025-12-31
MT Norte,297.0,300.0,-5.89,2025-12-31
GO Reg. Sul,306.0,309.0,-3.03,2025-12-31
SP Barretos,315.5,319.0,0.0,2025-12-31
MT Sudoeste,287.0,290.0,-9.08,2025-12-31
MT Sudeste,297.0,300.0,-5.89,2025-12-31
MT Cuiabá*,299.0,302.0,-5.25,2025-12-31
Roraima,293.0,296.0,-7.17,2025-12-31
RJ,319.5,323.0,1.27,2025-12-31
ES,302.0,305.0,-4.3,2025-12-31
Acre,262.0,265.0,-16.88,2025-12-31
TO Sul,297.0,300.0,-5.89,2025-12-31
RO Sudeste,272.0,275.0,-13.69,2025-12-31
TO Norte,297.0,300.0,-5.89,2025-12-31
PA Redenção,292.0,295.0,-7.48,2025-12-31
PA Marabá,297.0,300.0,-5.89,2025-12-31
Alagoas,302.0,305.0,-4.3,2025-12-31
MA Oeste,297.0,300.0,-5.89,2025-12-31
SC,320.5,324.0,1.59,2025-12-31
PR Noroeste,323.5,327.0,2.55,2025-12-31
PA Paragominas,303.0,306.0,-3.98,2025-12-31
MS Dourados,309.5,313.0,-1.75,2026-01-01
RS Pelotas (kg),10.7,10.8,1.75,2026-01-01
RS Oeste (kg),10.6,10.7,0.8,2026-01-01
MS Três Lagoas,308.5,312.0,-2.07,2026-01-01
MS C. Grande,310.5,314.0,-1.43,2026-01-01
GO Reg. Sul,306.0,309.0,-3.03,2026-01-01
BA Sul,299.0,302.0,-5.25,2026-01-01
MG Sul,306.5,310.0,-2.71,2026-01-01
MG Norte,308.5,312.0,-2.07,2026-01-01
MG B.Horizonte,313.5,317.0,-0.64,2026-01-01
MG Triângulo,308.5,312.0,-2.07,2026-01-01
SP Araçatuba,315.5,319.0,0.0,2026-01-01
SP Barretos,315.5,319.0,0.0,2026-01-01
GO Goiânia,308.5,312.0,-2.07,2026-01-01
BA Oeste,311.5,315.0,-1.11,2026-01-01
MT Norte,297.0,300.0,-5.89,2026-01-01
Roraima,293.0,296.0,-7.17,2026-01-01
MT Sudoeste,287.0,290.0,-9.08,2026-01-01
RJ,319.5,323.0,1.27,2026-01-01
ES,302.0,305.0,-4.3,2026-01-01
Acre,262.0,265.0,-16.88,2026-01-01
TO Norte,297.0,300.0,-5.89,2026-01-01
RO Sudeste,272.0,275.0,-13.69,2026-01-01
PA Paragominas,303.0,306.0,-3.98,2026-01-01
TO Sul,297.0,300.0,-5.89,2026-01-01
PA Marabá,297.0,300.0,-5.89,2026-01-01
Alagoas,302.0,305.0,-4.3,2026-01-01
MA Oeste,297.0,300.0,-5.89,2026-01-01
SC,320.5,324.0,1.59,2026-01-01
PR Noroeste,323.5,327.0,2.55,2026-01-01
MT Sudeste,297.0,300.0,-5.89,2026-01-01
MT Cuiabá*,299.0,302.0,-5.25,2026-01-01
PA Redenção,292.0,295.0,-7.48,2026-01-01
GO Reg. Sul,306.0,309.0,-3.03,2026-01-02
RS Pelotas (kg),10.7,10.8,1.75,2026-01-02
RS Oeste (kg),10.6,10.7,0.8,2026-01-02
MS Três Lagoas,308.5,312.0,-2.07,2026-01-02
MS C. Grande,310.5,314.0,-1.43,2026-01-02
MS Dourados,309.5,313.0,-1.75,2026-01-02
GO Goiânia,308.5,312.0,-2.07,2026-01-02
MT Sudoeste,287.0,290.0,-9.08,2026-01-02
MG Norte,308.5,312.0,-2.07,2026-01-02
MG B.Horizonte,313.5,317.0,-0.64,2026-01-02
MG Triângulo,308.5,312.0,-2.07,2026-01-02
SP Araçatuba,315.5,319.0,0.0,2026-01-02
SP Barretos,315.5,319.0,0.0,2026-01-02
BA Sul,299.0,302.0,-5.25,2026-01-02
MG Sul,306.5,310.0,-2.71,2026-01-02
BA Oeste,311.5,315.0,-1.11,2026-01-02
SC,320.5,324.0,1.59,2026-01-02
TO Sul,297.0,300.0,-5.89,2026-01-02
RJ,319.5,323.0,1.27,2026-01-02
ES,302.0,305.0,-4.3,2026-01-02
Acre,262.0,265.0,-16.88,2026-01-02
TO Norte,297.0,300.0,-5.89,2026-01-02
MT Norte,297.0,300.0,-5.89,2026-01-02
RO Sudeste,272.0,275.0,-13.69,2026-01-02
PA Paragominas,303.0,306.0,-3.98,2026-01-02
PA Redenção,292.0,295.0,-7.48,2026-01-02
PA Marabá,297.0,300.0,-5.89,2026-01-02
Alagoas,302.0,305.0,-4.3,2026-01-02
MA Oeste,297.0,300.0,-5.89,2026-01-02
Roraima,293.0,296.0,-7.17,2026-01-02
PR Noroeste,323.5,327.0,2.55,2026-01-02
MT Sudeste,297.0,300.0,-5.89,2026-01-02
MT Cuiabá*,299.0,302.0,-5.25,2026-01-02
MS C. Grande,310.5,314.0,-1.43,2026-01-03
MS Três Lagoas,308.5,312.0,-2.07,2026-01-03
BA Sul,299.0,302.0,-5.25,2026-01-03
RS Pelotas (kg),10.7,10.8,1.75,2026-01-03
MS Dourados,309.5,313.0,-1.75,2026-01-03
RS Oeste (kg),10.6,10.7,0.8,2026-01-03
GO Reg. Sul,306.0,309.0,-3.03,2026-01-03
MG Norte,308.5,312.0,-2.07,2026-01-03
MG Sul,306.5,310.0,-2.71,2026-01-03
MG B.Horizonte,313.5,317.0,-0.64,2026-01-03
MG Triângulo,308.5,312.0,-2.07,2026-01-03
SP Araçatuba,315.5,319.0,0.0,2026-01-03
SP Barretos,315.5,319.0,0.0,2026-01-03
BA Oeste,311.5,315.0,-1.11,2026-01-03
GO Goiânia,308.5,312.0,-2.07,2026-01-03
MT Norte,297.0,300.0,-5.89,2026-01-03
Roraima,293.0,296.0,-7.17,2026-01-03
MT Cuiabá*,299.0,302.0,-5.25,2026-01-03
MT Sudoeste,287.0,290.0,-9.08,2026-01-03
RJ,319.5,323.0,1.27,2026-01-03
ES,302.0,305.0,-4.3,2026-01-03
Acre,262.0,265.0,-16.88,2026-01-03
TO Sul,297.0,300.0,-5.89,2026-01-03
RO Sudeste,272.0,275.0,-13.69,2026-01-03
PA Paragominas,303.0,306.0,-3.98,2026-01-03
TO Norte,297.0,300.0,-5.89,2026-01-03
PA Marabá,297.0,300.0,-5.89,2026-01-03
Alagoas,302.0,305.0,-4.3,2026-01-03
MA Oeste,302.0,305.0,-4.3,2026-01-03
SC,320.5,324.0,1.59,2026-01-03
PR Noroeste,323.5,327.0,2.55,2026-01-03
MT Sudeste,297.0,300.0,-5.89,2026-01-03
PA Redenção,292.0,295.0,-7.48,2026-01-03
MS Dourados,309.5,313.0,-1.75,2026-01-04
BA Sul,299.0,302.0,-5.25,2026-01-04
RS Pelotas (kg),10.7,10.8,1.75,2026-01-04
RS Oeste (kg),10.6,10.7,0.8,2026-01-04
MS Três Lagoas,308.5,312.0,-2.07,2026-01-04
MS C. Grande,310.5,314.0,-1.43,2026-01-04
GO Reg. Sul,306.0,309.0,-3.03,2026-01-04
BA Oeste,311.5,315.0,-1.11,2026-01-04
MG Sul,306.5,310.0,-2.71,2026-01-04
MG Norte,308.5,312.0,-2.07,2026-01-04
MG B.Horizonte,313.5,317.0,-0.64,2026-01-04
MG Triângulo,308.5,312.0,-2.07,2026-01-04
SP Araçatuba,315.5,319.0,0.0,2026-01-04
SP Barretos,315.5,319.0,0.0,2026-01-04
GO Goiânia,308.5,312.0,-2.07,2026-01-04
MT Norte,297.0,300.0,-5.89,2026-01-04
Roraima,293.0,296.0,-7.17,2026-01-04
MT Cuiabá*,299.0,302.0,-5.25,2026-01-04
MT Sudoeste,287.0,290.0,-9.08,2026-01-04
RJ,319.5,323.0,1.27,2026-01-04
ES,302.0,305.0,-4.3,2026-01-04
Acre,262.0,265.0,-16.88,2026-01-04
TO Norte,297.0,300.0,-5.89,2026-01-04
RO Sudeste,272.0,275.0,-13.69,2026-01-04
PA Paragominas,303.0,306.0,-3.98,2026-01-04
TO Sul,297.0,300.0,-5.89,2026-01-04
PA Marabá,297.0,300.0,-5.89,2026-01-04
Alagoas,302.0,305.0,-4.3,2026-01-04
MA Oeste,302.0,305.0,-4.3,2026-01-04
SC,320.5,324.0,1.59,2026-01-04
PR Noroeste,323.5,327.0,2.55,2026-01-04
MT Sudeste,297.0,300.0,-5.89,2026-01-04
PA Redenção,292.0,295.0,-7.48,2026-01-04
MS C. Grande,310.5,314.0,-1.43,2026-01-05
BA Sul,299.0,302.0,-5.25,2026-01-05
RS Pelotas (kg),10.7,10.8,1.75,2026-01-05
RS Oeste (kg),10.6,10.7,0.8,2026-01-05
MS Três Lagoas,308.5,312.0,-2.07,2026-01-05
MS Dourados,309.5,313.0,-1.75,2026-01-05
SP Barretos,315.5,319.0,0.0,2026-01-05
GO Goiânia,308.5,312.0,-2.07,2026-01-05
MG Sul,306.5,310.0,-2.71,2026-01-05
MG Norte,308.5,312.0,-2.07,2026-01-05
MG B.Horizonte,313.5,317.0,-0.64,2026-01-05
MG Triângulo,308.5,312.0,-2.07,2026-01-05
SP Araçatuba,315.5,319.0,0.0,2026-01-05
BA Oeste,311.5,315.0,-1.11,2026-01-05
GO Reg. Sul,306.0,309.0,-3.03,2026-01-05
MT Norte,297.0,300.0,-5.89,2026-01-05
SC,320.5,324.0,1.59,2026-01-05
MT Cuiabá*,299.0,302.0,-5.25,2026-01-05
Roraima,293.0,296.0,-7.17,2026-01-05
RJ,319.5,323.0,1.27,2026-01-05
ES,302.0,305.0,-4.3,2026-01-05
MT Sudoeste,287.0,290.0,-9.08,2026-01-05
TO Norte,297.0,300.0,-5.89,2026-01-05
TO Sul,297.0,300.0,-5.89,2026-01-05
RO Sudeste,272.0,275.0,-13.69,2026-01-05
Acre,262.0,265.0,-16.88,2026-01-05
PA Redenção,292.0,295.0,-7.48,2026-01-05
PA Marabá,297.0,300.0,-5.89,2026-01-05
Alagoas,302.0,305.0,-4.3,2026-01-05
MA Oeste,302.0,305.0,-4.3,2026-01-05
PR Noroeste,323.5,327.0,2.55,2026-01-05
MT Sudeste,297.0,300.0,-5.89,2026-01-05
PA Paragominas,303.0,306.0,-3.98,2026-01-05
MS Dourados,309.5,313.0,-1.12,2026-01-06
BA Sul,299.0,302.0,-4.65,2026-01-06
RS Pelotas (kg),10.7,10.8,2.4,2026-01-06
RS Oeste (kg),10.6,10.7,1.44,2026-01-06
MS Três Lagoas,308.5,312.0,-1.44,2026-01-06
MS C. Grande,308.5,312.0,-1.44,2026-01-06
GO Reg. Sul,306.0,309.0,-2.4,2026-01-06
BA Oeste,311.5,315.0,-0.48,2026-01-06
MG Sul,306.5,310.0,-2.08,2026-01-06
MG Norte,308.5,312.0,-1.44,2026-01-06
MG B.Horizonte,313.5,317.0,0.0,2026-01-06
MG Triângulo,308.5,312.0,-1.44,2026-01-06
SP Araçatuba,313.5,317.0,0.0,2026-01-06
SP Barretos,313.5,317.0,0.0,2026-01-06
GO Goiânia,308.5,312.0,-1.44,2026-01-06
MT Norte,297.0,300.0,-5.29,2026-01-06
PA Redenção,292.0,295.0,-6.89,2026-01-06
MT Cuiabá*,299.0,302.0,-4.65,2026-01-06
RJ,316.5,320.0,0.96,2026-01-06
ES,302.0,305.0,-3.69,2026-01-06
Acre,262.0,265.0,-16.35,2026-01-06
TO Norte,297.0,300.0,-5.29,2026-01-06
TO Sul,297.0,300.0,-5.29,2026-01-06
RO Sudeste,269.0,272.0,-14.1,2026-01-06
PA Paragominas,303.0,306.0,-3.37,2026-01-06
MT Sudoeste,287.0,290.0,-8.49,2026-01-06
PA Marabá,297.0,300.0,-5.29,2026-01-06
Alagoas,302.0,305.0,-3.69,2026-01-06
MA Oeste,302.0,305.0,-3.69,2026-01-06
SC,320.5,324.0,2.24,2026-01-06
PR Noroeste,323.5,327.0,3.21,2026-01-06
MT Sudeste,297.0,300.0,-5.29,2026-01-06
Roraima,293.0,296.0,-6.57,2026-01-06
RS Pelotas (kg),10.7,10.8,2.4,2026-01-07
RS Oeste (kg),10.6,10.7,1.44,2026-01-07
MS Três Lagoas,308.5,312.0,-1.44,2026-01-07
MS C. Grande,308.5,312.0,-1.44,2026-01-07
MS Dourados,306.5,310.0,-2.08,2026-01-07
GO Reg. Sul,306.0,309.0,-2.4,2026-01-07
MG B.Horizonte,313.5,317.0,0.0,2026-01-07
MG Sul,306.5,310.0,-2.08,2026-01-07
MG Norte,309.5,313.0,-1.12,2026-01-07
MG Triângulo,308.5,312.0,-1.44,2026-01-07
SP Araçatuba,313.5,317.0,0.0,2026-01-07
SP Barretos,313.5,317.0,0.0,2026-01-07
BA Sul,299.0,302.0,-4.65,2026-01-07
GO Goiânia,308.5,312.0,-1.44,2026-01-07
BA Oeste,311.5,315.0,-0.48,2026-01-07
MT Norte,297.0,300.0,-5.29,2026-01-07
Roraima,293.0,296.0,-6.57,2026-01-07
MT Sudoeste,290.0,293.0,-7.53,2026-01-07
RJ,316.5,320.0,0.96,2026-01-07
ES,302.0,305.0,-3.69,2026-01-07
Acre,262.0,265.0,-16.35,2026-01-07
TO Norte,297.0,300.0,-5.29,2026-01-07
RO Sudeste,272.0,275.0,-13.14,2026-01-07
PA Paragominas,305.0,308.0,-2.72,2026-01-07
TO Sul,297.0,300.0,-5.29,2026-01-07
PA Marabá,299.0,302.0,-4.65,2026-01-07
Alagoas,301.0,304.0,-4.01,2026-01-07
MA Oeste,300.0,303.0,-4.33,2026-01-07
SC,320.5,324.0,2.24,2026-01-07
PR Noroeste,323.5,327.0,3.21,2026-01-07
MT Sudeste,297.0,300.0,-5.29,2026-01-07
MT Cuiabá*,299.0,302.0,-4.65,2026-01-07
PA Redenção,292.0,295.0,-6.89,2026-01-07
MS Dourados,306.0,310.0,-2.4,2026-01-09
BA Sul,298.5,302.0,-4.95,2026-01-09
RS Pelotas (kg),10.65,10.8,2.08,2026-01-09
RS Oeste (kg),10.75,10.9,3.04,2026-01-09
MS Três Lagoas,308.0,312.0,-1.76,2026-01-09
MS C. Grande,308.0,312.0,-1.76,2026-01-09
GO Reg. Sul,305.0,309.0,-2.72,2026-01-09
BA Oeste,309.0,313.0,-1.44,2026-01-09
MG Sul,305.0,309.0,-2.72,2026-01-09
MG Norte,309.0,313.0,-1.44,2026-01-09
MG B.Horizonte,313.0,317.0,-0.32,2026-01-09
MG Triângulo,310.0,314.0,-1.12,2026-01-09
SP Araçatuba,314.0,318.0,0.0,2026-01-09
SP Barretos,314.0,318.0,0.0,2026-01-09
GO Goiânia,308.0,312.0,-1.76,2026-01-09
MT Norte,297.5,301.0,-5.27,2026-01-09
Roraima,292.5,296.0,-6.87,2026-01-09
MT Cuiabá*,298.5,302.0,-4.95,2026-01-09
MT Sudoeste,293.5,297.0,-6.55,2026-01-09
RJ,316.0,320.0,0.64,2026-01-09
ES,301.5,305.0,-3.99,2026-01-09
Acre,262.0,265.0,-16.61,2026-01-09
TO Sul,296.5,300.0,-5.59,2026-01-09
RO Sudeste,272.5,276.0,-13.1,2026-01-09
PA Paragominas,304.0,308.0,-3.04,2026-01-09
TO Norte,296.5,300.0,-5.59,2026-01-09
PA Marabá,298.5,302.0,-4.95,2026-01-09
Alagoas,300.5,304.0,-4.31,2026-01-09
MA Oeste,296.5,300.0,-5.59,2026-01-09
SC,316.0,320.0,0.64,2026-01-09
PR Noroeste,323.0,327.0,2.88,2026-01-09
MT Sudeste,296.5,300.0,-5.59,2026-01-09
PA Redenção,291.5,295.0,-7.19,2026-01-09
MS Dourados,306.0,310.0,-2.4,2026-01-10
BA Sul,298.5,302.0,-4.95,2026-01-10
RS Pelotas (kg),10.75,10.9,3.04,2026-01-10
RS Oeste (kg),10.85,11.0,3.99,2026-01-10
MS Três Lagoas,308.0,312.0,-1.76,2026-01-10
MS C. Grande,308.0,312.0,-1.76,2026-01-10
GO Reg. Sul,305.0,309.0,-2.72,2026-01-10
BA Oeste,309.0,313.0,-1.44,2026-01-10
MG Sul,305.0,309.0,-2.72,2026-01-10
MG Norte,309.0,313.0,-1.44,2026-01-10
MG B.Horizonte,313.0,317.0,-0.32,2026-01-10
MG Triângulo,310.0,314.0,-1.12,2026-01-10
SP Araçatuba,314.0,318.0,0.0,2026-01-10
SP Barretos,314.0,318.0,0.0,2026-01-10
GO Goiânia,308.0,312.0,-1.76,2026-01-10
MT Norte,297.5,301.0,-5.27,2026-01-10
Roraima,292.5,296.0,-6.87,2026-01-10
MT Cuiabá*,298.5,302.0,-4.95,2026-01-10
RJ,316.0,320.0,0.64,2026-01-10
ES,301.5,305.0,-3.99,2026-01-10
Acre,262.0,265.0,-16.61,2026-01-10
TO Norte,296.5,300.0,-5.59,2026-01-10
TO Sul,296.5,300.0,-5.59,2026-01-10
RO Sudeste,272.5,276.0,-13.1,2026-01-10
PA Paragominas,304.0,308.0,-3.04,2026-01-10
MT Sudoeste,293.5,297.0,-6.55,2026-01-10
PA Marabá,298.5,302.0,-4.95,2026-01-10
Alagoas,300.5,304.0,-4.31,2026-01-10
MA Oeste,296.5,300.0,-5.59,2026-01-10
SC,316.0,320.0,0.64,2026-01-10
PR Noroeste,323.0,327.0,2.88,2026-01-10
MT Sudeste,296.5,300.0,-5.59,2026-01-10
PA Redenção,293.5,297.0,-6.55,2026-01-10
BA Sul,298.5,302.0,-4.95,2026-01-11
RS Pelotas (kg),10.75,10.9,3.04,2026-01-11
RS Oeste (kg),10.85,11.0,3.99,2026-01-11
MS Três Lagoas,308.0,312.0,-1.76,2026-01-11
MS C. Grande,308.0,312.0,-1.76,2026-01-11
MS Dourados,306.0,310.0,-2.4,2026-01-11
MG Norte,309.0,313.0,-1.44,2026-01-11
GO Goiânia,308.0,312.0,-1.76,2026-01-11
MG Sul,305.0,309.0,-2.72,2026-01-11
MG B.Horizonte,313.0,317.0,-0.32,2026-01-11
MG Triângulo,310.0,314.0,-1.12,2026-01-11
SP Araçatuba,314.0,318.0,0.0,2026-01-11
BA Oeste,309.0,313.0,-1.44,2026-01-11
GO Reg. Sul,305.0,309.0,-2.72,2026-01-11
SP Barretos,314.0,318.0,0.0,2026-01-11
MT Norte,297.5,301.0,-5.27,2026-01-11
MT Cuiabá*,298.5,302.0,-4.95,2026-01-11
MT Sudoeste,293.5,297.0,-6.55,2026-01-11
Roraima,292.5,296.0,-6.87,2026-01-11
RJ,316.0,320.0,0.64,2026-01-11
ES,301.5,305.0,-3.99,2026-01-11
Acre,262.0,265.0,-16.61,2026-01-11
TO Sul,296.5,300.0,-5.59,2026-01-11
RO Sudeste,272.5,276.0,-13.1,2026-01-11
TO Norte,296.5,300.0,-5.59,2026-01-11
PA Redenção,293.5,297.0,-6.55,2026-01-11
PA Marabá,298.5,302.0,-4.95,2026-01-11
Alagoas,300.5,304.0,-4.31,2026-01-11
MA Oeste,296.5,300.0,-5.59,2026-01-11
SC,316.0,320.0,0.64,2026-01-11
PR Noroeste,323.0,327.0,2.88,2026-01-11
MT Sudeste,296.5,300.0,-5.59,2026-01-11
PA Paragominas,304.0,308.0,-3.04,2026-01-11
MS Dourados,306.0,310.0,-2.4,2026-01-12
BA Sul,298.5,302.0,-4.95,2026-01-12
RS Pelotas (kg),10.75,10.9,3.04,2026-01-12
RS Oeste (kg),10.85,11.0,3.99,2026-01-12
MS Três Lagoas,308.0,312.0,-1.76,2026-01-12
MS C. Grande,308.0,312.0,-1.76,2026-01-12
BA Oeste,309.0,313.0,-1.44,2026-01-12
SP Barretos,314.0,318.0,0.0,2026-01-12
GO Goiânia,308.0,312.0,-1.76,2026-01-12
MG Sul,305.0,309.0,-2.72,2026-01-12
MG Norte,309.0,313.0,-1.44,2026-01-12
MG B.Horizonte,313.0,317.0,-0.32,2026-01-12
MG Triângulo,310.0,314.0,-1.12,2026-01-12
SP Araçatuba,314.0,318.0,0.0,2026-01-12
GO Reg. Sul,305.0,309.0,-2.72,2026-01-12
MT Norte,297.5,301.0,-5.27,2026-01-12
PA Redenção,293.5,297.0,-6.55,2026-01-12
MT Cuiabá*,298.5,302.0,-4.95,2026-01-12
Roraima,292.5,296.0,-6.87,2026-01-12
RJ,316.0,320.0,0.64,2026-01-12
ES,301.5,305.0,-3.99,2026-01-12
Acre,262.0,265.0,-16.61,2026-01-12
