praca,preco_vista,preco_30d,data
ES,294.5,298.0,2026-02-09
Acre,252.0,255.0,2026-02-09
TO Sul,288.5,292.0,2026-02-09
RO Sudeste,274.0,277.0,2026-02-09
TO Norte,288.5,292.0,2026-02-09
PA Redenção,288.5,292.0,2026-02-09
PA Marabá,291.5,295.0,2026-02-09
Alagoas,291.5,295.0,2026-02-09
MA Oeste,278.5,282.0,2026-02-09
SC,312.5,316.0,2026-02-09
PR Noroeste,321.0,325.0,2026-02-09
MT Sudeste,296.5,300.0,2026-02-09
PA Paragominas,286.5,290.0,2026-02-09
MS Dourados,301.5,305.0,2026-02-10
BA Sul,286.5,290.0,2026-02-10
RS Pelotas (kg),10.65,10.8,2026-02-10
RS Oeste (kg),10.75,10.9,2026-02-10
MS Três Lagoas,302.5,306.0,2026-02-10
MS C. Grande,306.5,310.0,2026-02-10
GO Reg. Sul,301.5,305.0,2026-02-10
BA Oeste,288.5,292.0,2026-02-10
MG Sul,301.5,305.0,2026-02-10
MG Norte,306.5,310.0,2026-02-10
MG B.Horizonte,306.5,310.0,2026-02-10
MG Triângulo,303.5,307.0,2026-02-10
SP Araçatuba,321.0,325.0,2026-02-10
SP Barretos,321.0,325.0,2026-02-10
GO Goiânia,301.5,305.0,2026-02-10
MT Norte,288.5,292.0,2026-02-10
TO Norte,288.5,292.0,2026-02-10
MT Cuiabá*,293.5,297.0,2026-02-10
RJ,306.5,310.0,2026-02-10
ES,296.5,300.0,2026-02-10
Acre,254.0,257.0,2026-02-10
Roraima,272.0,275.0,2026-02-10
TO Sul,288.5,292.0,2026-02-10
RO Sudeste,277.0,280.0,2026-02-10
PA Paragominas,286.5,290.0,2026-02-10
MT Sudoeste,291.5,295.0,2026-02-10
PA Marabá,291.5,295.0,2026-02-10
Alagoas,291.5,295.0,2026-02-10
MA Oeste,278.5,282.0,2026-02-10
SC,314.5,318.0,2026-02-10
PR Noroeste,323.0,327.0,2026-02-10
MT Sudeste,296.5,300.0,2026-02-10
PA Redenção,288.5,292.0,2026-02-10
BA Sul,286.5,290.0,2026-02-11
RS Pelotas (kg),10.65,10.8,2026-02-11
MS Três Lagoas,302.5,306.0,2026-02-11
MS C. Grande,306.5,310.0,2026-02-11
MS Dourados,301.5,305.0,2026-02-11
GO Reg. Sul,303.5,307.0,2026-02-11
MG Norte,306.5,310.0,2026-02-11
MG Sul,303.5,307.0,2026-02-11
BA Oeste,288.5,292.0,2026-02-11
MG B.Horizonte,306.5,310.0,2026-02-11
MG Triângulo,306.5,310.0,2026-02-11
SP Araçatuba,321.0,325.0,2026-02-11
SP Barretos,321.0,325.0,2026-02-11
GO Goiânia,303.5,307.0,2026-02-11
MT Sudoeste,291.5,295.0,2026-02-11
RS Oeste (kg),10.75,10.9,2026-02-11
MT Norte,291.5,295.0,2026-02-11
MT Cuiabá*,296.5,300.0,2026-02-11
Roraima,272.0,275.0,2026-02-11
RJ,308.5,312.0,2026-02-11
ES,298.5,302.0,2026-02-11
Acre,259.0,262.0,2026-02-11
TO Sul,288.5,292.0,2026-02-11
RO Sudeste,277.0,280.0,2026-02-11
TO Norte,288.5,292.0,2026-02-11
PA Redenção,288.5,292.0,2026-02-11
PA Marabá,291.5,295.0,2026-02-11
Alagoas,291.5,295.0,2026-02-11
MA Oeste,281.5,285.0,2026-02-11
SC,316.5,320.0,2026-02-11
PR Noroeste,326.0,330.0,2026-02-11
MT Sudeste,296.5,300.0,2026-02-11
PA Paragominas,286.5,290.0,2026-02-11
MS C. Grande,306.5,310.0,2026-02-12
BA Oeste,288.5,292.0,2026-02-12
BA Sul,286.5,290.0,2026-02-12
RS Pelotas (kg),10.65,10.8,2026-02-12
RS Oeste (kg),10.75,10.9,2026-02-12
MS Três Lagoas,302.5,306.0,2026-02-12
MS Dourados,301.5,305.0,2026-02-12
MT Norte,291.5,295.0,2026-02-12
GO Goiânia,303.5,307.0,2026-02-12
MG Sul,303.5,307.0,2026-02-12
MG Norte,306.5,310.0,2026-02-12
MG B.Horizonte,309.5,313.0,2026-02-12
MG Triângulo,306.5,310.0,2026-02-12
SP Araçatuba,326.0,330.0,2026-02-12
GO Reg. Sul,306.5,310.0,2026-02-12
SP Barretos,326.0,330.0,2026-02-12
MT Sudoeste,296.5,300.0,2026-02-12
MT Sudeste,296.5,300.0,2026-02-12
Roraima,272.0,275.0,2026-02-12
RJ,308.5,312.0,2026-02-12
ES,300.5,304.0,2026-02-12
Acre,259.0,262.0,2026-02-12
TO Norte,288.5,292.0,2026-02-12
TO Sul,288.5,292.0,2026-02-12
RO Sudeste,278.5,282.0,2026-02-12
MT Cuiabá*,296.5,300.0,2026-02-12
PA Redenção,288.5,292.0,2026-02-12
PA Marabá,291.5,295.0,2026-02-12
Alagoas,291.5,295.0,2026-02-12
MA Oeste,281.5,285.0,2026-02-12
SC,316.5,320.0,2026-02-12
PR Noroeste,328.0,332.0,2026-02-12
PA Paragominas,286.5,290.0,2026-02-12
BA Oeste,291.5,295.0,2026-02-13
BA Sul,286.5,290.0,2026-02-13
RS Pelotas (kg),10.75,10.9,2026-02-13
RS Oeste (kg),10.85,11.0,2026-02-13
MS Três Lagoas,303.5,307.0,2026-02-13
MS C. Grande,306.5,310.0,2026-02-13
MS Dourados,306.5,310.0,2026-02-13
MG Sul,303.5,307.0,2026-02-13
GO Goiânia,303.5,307.0,2026-02-13
MG Norte,306.5,310.0,2026-02-13
MG B.Horizonte,311.5,315.0,2026-02-13
MG Triângulo,306.5,310.0,2026-02-13
SP Araçatuba,326.0,330.0,2026-02-13
MT Norte,291.5,295.0,2026-02-13
GO Reg. Sul,306.5,310.0,2026-02-13
SP Barretos,326.0,330.0,2026-02-13
MT Sudoeste,298.5,302.0,2026-02-13
MT Sudeste,296.5,300.0,2026-02-13
MT Cuiabá*,299.5,303.0,2026-02-13
Roraima,272.0,275.0,2026-02-13
RJ,308.5,312.0,2026-02-13
ES,300.5,304.0,2026-02-13
Acre,262.0,265.0,2026-02-13
TO Sul,291.5,295.0,2026-02-13
RO Sudeste,281.5,285.0,2026-02-13
TO Norte,291.5,295.0,2026-02-13
PA Redenção,289.5,293.0,2026-02-13
PA Marabá,291.5,295.0,2026-02-13
Alagoas,291.5,295.0,2026-02-13
MA Oeste,281.5,285.0,2026-02-13
SC,321.0,325.0,2026-02-13
PR Noroeste,328.0,332.0,2026-02-13
PA Paragominas,292.5,296.0,2026-02-13
MS C. Grande,308.5,312.0,2026-02-14
BA Sul,286.5,290.0,2026-02-14
RS Pelotas (kg),10.75,10.9,2026-02-14
BA Oeste,291.5,295.0,2026-02-14
MS Três Lagoas,306.5,310.0,2026-02-14
MS Dourados,306.5,310.0,2026-02-14
SP Barretos,328.0,332.0,2026-02-14
GO Goiânia,306.5,310.0,2026-02-14
MG Sul,306.5,310.0,2026-02-14
MG Norte,306.5,310.0,2026-02-14
MG B.Horizonte,311.5,315.0,2026-02-14
MG Triângulo,308.5,312.0,2026-02-14
SP Araçatuba,328.0,332.0,2026-02-14
GO Reg. Sul,306.5,310.0,2026-02-14
MT Norte,293.5,297.0,2026-02-14
RS Oeste (kg),10.85,11.0,2026-02-14
MT Cuiabá*,301.5,305.0,2026-02-14
Roraima,272.0,275.0,2026-02-14
RJ,308.5,312.0,2026-02-14
ES,300.5,304.0,2026-02-14
Acre,264.0,267.0,2026-02-14
TO Norte,291.5,295.0,2026-02-14
TO Sul,291.5,295.0,2026-02-14
RO Sudeste,281.5,285.0,2026-02-14
MT Sudoeste,301.5,305.0,2026-02-14
PA Redenção,291.5,295.0,2026-02-14
PA Marabá,291.5,295.0,2026-02-14
Alagoas,293.5,297.0,2026-02-14
MA Oeste,281.5,285.0,2026-02-14
SC,321.0,325.0,2026-02-14
PR Noroeste,328.0,332.0,2026-02-14
MT Sudeste,301.5,305.0,2026-02-14
PA Paragominas,296.5,300.0,2026-02-14
BA Sul,286.5,290.0,2026-02-15
RS Oeste (kg),10.85,11.0,2026-02-15
MS Três Lagoas,306.5,310.0,2026-02-15
MS C. Grande,308.5,312.0,2026-02-15
MS Dourados,306.5,310.0,2026-02-15
GO Reg. Sul,306.5,310.0,2026-02-15
MG B.Horizonte,311.5,315.0,2026-02-15
MG Sul,306.5,310.0,2026-02-15
MG Norte,306.5,310.0,2026-02-15
BA Oeste,291.5,295.0,2026-02-15
MG Triângulo,308.5,312.0,2026-02-15
SP Araçatuba,328.0,332.0,2026-02-15
SP Barretos,328.0,332.0,2026-02-15
GO Goiânia,306.5,310.0,2026-02-15
MT Norte,293.5,297.0,2026-02-15
RS Pelotas (kg),10.75,10.9,2026-02-15
MT Cuiabá*,301.5,305.0,2026-02-15
Roraima,272.0,275.0,2026-02-15
MT Sudoeste,301.5,305.0,2026-02-15
ES,300.5,304.0,2026-02-15
Acre,264.0,267.0,2026-02-15
TO Norte,291.5,295.0,2026-02-15
TO Sul,291.5,295.0,2026-02-15
RO Sudeste,281.5,285.0,2026-02-15
PA Paragominas,296.5,300.0,2026-02-15
RJ,308.5,312.0,2026-02-15
PA Marabá,291.5,295.0,2026-02-15
Alagoas,293.5,297.0,2026-02-15
MA Oeste,281.5,285.0,2026-02-15
SC,321.0,325.0,2026-02-15
PR Noroeste,328.0,332.0,2026-02-15
MT Sudeste,301.5,305.0,2026-02-15
PA Redenção,291.5,295.0,2026-02-15
BA Sul,286.5,290.0,2026-02-16
RS Oeste (kg),10.85,11.0,2026-02-16
MS Três Lagoas,306.5,310.0,2026-02-16
MS C. Grande,308.5,312.0,2026-02-16
MS Dourados,306.5,310.0,2026-02-16
GO Reg. Sul,306.5,310.0,2026-02-16
MG B.Horizonte,311.5,315.0,2026-02-16
MG Sul,306.5,310.0,2026-02-16
MG Norte,306.5,310.0,2026-02-16
MG Triângulo,308.5,312.0,2026-02-16
SP Araçatuba,328.0,332.0,2026-02-16
SP Barretos,328.0,332.0,2026-02-16
BA Oeste,291.5,295.0,2026-02-16
GO Goiânia,306.5,310.0,2026-02-16
MT Norte,293.5,297.0,2026-02-16
RS Pelotas (kg),10.75,10.9,2026-02-16
MT Cuiabá*,301.5,305.0,2026-02-16
RJ,308.5,312.0,2026-02-16
ES,300.5,304.0,2026-02-16
Acre,264.0,267.0,2026-02-16
TO Norte,291.5,295.0,2026-02-16
TO Sul,291.5,295.0,2026-02-16
RO Sudeste,281.5,285.0,2026-02-16
PA Paragominas,296.5,300.0,2026-02-16
MT Sudoeste,301.5,305.0,2026-02-16
PA Marabá,291.5,295.0,2026-02-16
Alagoas,293.5,297.0,2026-02-16
MA Oeste,281.5,285.0,2026-02-16
SC,321.0,325.0,2026-02-16
Roraima,272.0,275.0,2026-02-16
PR Noroeste,328.0,332.0,2026-02-16
MT Sudeste,301.5,305.0,2026-02-16
PA Redenção,291.5,295.0,2026-02-16
BA Oeste,291.5,295.0,2026-02-17
BA Sul,286.5,290.0,2026-02-17
RS Pelotas (kg),10.75,10.9,2026-02-17
RS Oeste (kg),10.85,11.0,2026-02-17
MS Três Lagoas,306.5,310.0,2026-02-17
MS C. Grande,308.5,312.0,2026-02-17
MS Dourados,306.5,310.0,2026-02-17
MG Norte,306.5,310.0,2026-02-17
GO Goiânia,306.5,310.0,2026-02-17
MG Sul,306.5,310.0,2026-02-17
MG B.Horizonte,311.5,315.0,2026-02-17
MG Triângulo,308.5,312.0,2026-02-17
SP Araçatuba,328.0,332.0,2026-02-17
MT Norte,293.5,297.0,2026-02-17
GO Reg. Sul,306.5,310.0,2026-02-17
SP Barretos,328.0,332.0,2026-02-17
MT Sudoeste,301.5,305.0,2026-02-17
MT Sudeste,301.5,305.0,2026-02-17
MT Cuiabá*,301.5,305.0,2026-02-17
Roraima,272.0,275.0,2026-02-17
RJ,308.5,312.0,2026-02-17
ES,300.5,304.0,2026-02-17
Acre,264.0,267.0,2026-02-17
TO Sul,291.5,295.0,2026-02-17
RO Sudeste,281.5,285.0,2026-02-17
TO Norte,291.5,295.0,2026-02-17
PA Redenção,291.5,295.0,2026-02-17
PA Marabá,291.5,295.0,2026-02-17
Alagoas,293.5,297.0,2026-02-17
MA Oeste,281.5,285.0,2026-02-17
SC,321.0,325.0,2026-02-17
PR Noroeste,328.0,332.0,2026-02-17
PA Paragominas,296.5,300.0,2026-02-17
MS C. Grande,308.5,312.0,2026-02-18
BA Sul,286.5,290.0,2026-02-18
RS Pelotas (kg),10.75,10.9,2026-02-18
RS Oeste (kg),10.85,11.0,2026-02-18
MS Três Lagoas,306.5,310.0,2026-02-18
MS Dourados,306.5,310.0,2026-02-18
BA Oeste,291.5,295.0,2026-02-18
GO Goiânia,306.5,310.0,2026-02-18
MG Sul,306.5,310.0,2026-02-18
MG Norte,306.5,310.0,2026-02-18
MG B.Horizonte,311.5,315.0,2026-02-18
MG Triângulo,308.5,312.0,2026-02-18
SP Araçatuba,328.0,332.0,2026-02-18
GO Reg. Sul,306.5,310.0,2026-02-18
MT Norte,293.5,297.0,2026-02-18
SP Barretos,328.0,332.0,2026-02-18
MT Cuiabá*,301.5,305.0,2026-02-18
Roraima,272.0,275.0,2026-02-18
MT Sudoeste,301.5,305.0,2026-02-18
RJ,308.5,312.0,2026-02-18
ES,300.5,304.0,2026-02-18
Acre,264.0,267.0,2026-02-18
TO Sul,291.5,295.0,2026-02-18
RO Sudeste,281.5,285.0,2026-02-18
TO Norte,291.5,295.0,2026-02-18
PA Redenção,291.5,295.0,2026-02-18
PA Marabá,291.5,295.0,2026-02-18
Alagoas,293.5,297.0,2026-02-18
MA Oeste,281.5,285.0,2026-02-18
SC,321.0,325.0,2026-02-18
PR Noroeste,328.0,332.0,2026-02-18
MT Sudeste,301.5,305.0,2026-02-18
PA Paragominas,296.5,300.0,2026-02-18
MS Dourados,306.5,310.0,2026-02-19
BA Sul,286.5,290.0,2026-02-19
RS Pelotas (kg),10.75,10.9,2026-02-19
RS Oeste (kg),10.85,11.0,2026-02-19
MS Três Lagoas,306.5,310.0,2026-02-19
MS C. Grande,308.5,312.0,2026-02-19
GO Reg. Sul,306.5,310.0,2026-02-19
SP Barretos,328.0,332.0,2026-02-19
MG Sul,306.5,310.0,2026-02-19
MG Norte,306.5,310.0,2026-02-19
MG B.Horizonte,311.5,315.0,2026-02-19
MG Triângulo,308.5,312.0,2026-02-19
SP Araçatuba,328.0,332.0,2026-02-19
BA Oeste,291.5,295.0,2026-02-19
GO Goiânia,306.5,310.0,2026-02-19
MT Norte,293.5,297.0,2026-02-19
TO Norte,291.5,295.0,2026-02-19
MT Cuiabá*,301.5,305.0,2026-02-19
Roraima,272.0,275.0,2026-02-19
RJ,308.5,312.0,2026-02-19
ES,300.5,304.0,2026-02-19
Acre,264.0,267.0,2026-02-19
TO Sul,291.5,295.0,2026-02-19
RO Sudeste,281.5,285.0,2026-02-19
PA Paragominas,296.5,300.0,2026-02-19
MT Sudoeste,301.5,305.0,2026-02-19
PA Marabá,291.5,295.0,2026-02-19
Alagoas,293.5,297.0,2026-02-19
MA Oeste,281.5,285.0,2026-02-19
SC,321.0,325.0,2026-02-19
PR Noroeste,328.0,332.0,2026-02-19
MT Sudeste,301.5,305.0,2026-02-19
PA Redenção,291.5,295.0,2026-02-19
BA Sul,291.5,295.0,2026-02-20
RS Pelotas (kg),10.75,10.9,2026-02-20
RS Oeste (kg),10.85,11.0,2026-02-20
MS Três Lagoas,311.5,315.0,2026-02-20
MS C. Grande,311.5,315.0,2026-02-20
MS Dourados,309.5,313.0,2026-02-20
MG Norte,311.5,315.0,2026-02-20
GO Goiânia,309.5,313.0,2026-02-20
MG Sul,306.5,310.0,2026-02-20
MG B.Horizonte,311.5,315.0,2026-02-20
MG Triângulo,311.5,315.0,2026-02-20
SP Araçatuba,328.0,332.0,2026-02-20
BA Oeste,296.5,300.0,2026-02-20
GO Reg. Sul,306.5,310.0,2026-02-20
MT Norte,298.5,302.0,2026-02-20
SP Barretos,328.0,332.0,2026-02-20
MT Cuiabá*,306.5,310.0,2026-02-20
RJ,311.5,315.0,2026-02-20
ES,305.5,309.0,2026-02-20
Acre,267.0,270.0,2026-02-20
TO Norte,291.5,295.0,2026-02-20
TO Sul,291.5,295.0,2026-02-20
RO Sudeste,291.5,295.0,2026-02-20
PA Paragominas,296.5,300.0,2026-02-20
MT Sudoeste,311.5,315.0,2026-02-20
PA Marabá,291.5,295.0,2026-02-20
PA Redenção,294.5,298.0,2026-02-20
MT Sudeste,311.5,315.0,2026-02-20
PR Noroeste,331.0,335.0,2026-02-20
Roraima,272.0,275.0,2026-02-20
MA Oeste,286.5,290.0,2026-02-20
Alagoas,293.5,297.0,2026-02-20
SC,326.0,330.0,2026-02-20
BA Oeste,296.5,300.0,2026-02-21
BA Sul,291.5,295.0,2026-02-21
RS Pelotas (kg),10.75,10.9,2026-02-21
RS Oeste (kg),10.95,11.1,2026-02-21
MS Três Lagoas,311.5,315.0,2026-02-21
MS C. Grande,311.5,315.0,2026-02-21
GO Reg. Sul,306.5,310.0,2026-02-21
GO Goiânia,309.5,313.0,2026-02-21
MG Norte,316.5,320.0,2026-02-21
MG B.Horizonte,314.5,318.0,2026-02-21
MG Triângulo,311.5,315.0,2026-02-21
SP Araçatuba,328.0,332.0,2026-02-21
MT Norte,316.5,320.0,2026-02-21
MS Dourados,309.5,313.0,2026-02-21
MG Sul,311.5,315.0,2026-02-21
SP Barretos,328.0,332.0,2026-02-21
MT Sudeste,316.5,320.0,2026-02-21
MT Cuiabá*,306.5,310.0,2026-02-21
Roraima,272.0,275.0,2026-02-21
RJ,311.5,315.0,2026-02-21
ES,305.5,309.0,2026-02-21
Acre,267.0,270.0,2026-02-21
TO Norte,296.5,300.0,2026-02-21
TO Sul,291.5,295.0,2026-02-21
MT Sudoeste,316.5,320.0,2026-02-21
PA Paragominas,298.5,302.0,2026-02-21
RO Sudeste,291.5,295.0,2026-02-21
SC,326.0,330.0,2026-02-21
MA Oeste,286.5,290.0,2026-02-21
PR Noroeste,331.0,335.0,2026-02-21
PA Marabá,296.5,300.0,2026-02-21
PA Redenção,294.5,298.0,2026-02-21
Alagoas,296.5,300.0,2026-02-21
BA Oeste,296.5,300.0,2026-02-22
BA Sul,291.5,295.0,2026-02-22
RS Oeste (kg),10.95,11.1,2026-02-22
MS Três Lagoas,311.5,315.0,2026-02-22
MS C. Grande,311.5,315.0,2026-02-22
MS Dourados,309.5,313.0,2026-02-22
GO Reg. Sul,306.5,310.0,2026-02-22
MT Norte,316.5,320.0,2026-02-22
MG Norte,316.5,320.0,2026-02-22
MG B.Horizonte,314.5,318.0,2026-02-22
MG Triângulo,311.5,315.0,2026-02-22
SP Araçatuba,328.0,332.0,2026-02-22
SP Barretos,328.0,332.0,2026-02-22
GO Goiânia,309.5,313.0,2026-02-22
MG Sul,311.5,315.0,2026-02-22
RS Pelotas (kg),10.75,10.9,2026-02-22
MT Sudeste,316.5,320.0,2026-02-22
MT Cuiabá*,306.5,310.0,2026-02-22
Roraima,272.0,275.0,2026-02-22
RJ,311.5,315.0,2026-02-22
ES,305.5,309.0,2026-02-22
Acre,267.0,270.0,2026-02-22
TO Norte,296.5,300.0,2026-02-22
TO Sul,291.5,295.0,2026-02-22
MT Sudoeste,316.5,320.0,2026-02-22
PA Paragominas,298.5,302.0,2026-02-22
PA Redenção,294.5,298.0,2026-02-22
PA Marabá,296.5,300.0,2026-02-22
Alagoas,296.5,300.0,2026-02-22
MA Oeste,286.5,290.0,2026-02-22
SC,326.0,330.0,2026-02-22
PR Noroeste,331.0,335.0,2026-02-22
RO Sudeste,291.5,295.0,2026-02-22
BA Sul,291.5,295.0,2026-02-23
RS Pelotas (kg),10.75,10.9,2026-02-23
RS Oeste (kg),10.95,11.1,2026-02-23
MS Três Lagoas,311.5,315.0,2026-02-23
MS C. Grande,311.5,315.0,2026-02-23
MS Dourados,309.5,313.0,2026-02-23
MG Norte,316.5,320.0,2026-02-23
GO Goiânia,309.5,313.0,2026-02-23
MG Sul,311.5,315.0,2026-02-23
MG B.Horizonte,314.5,318.0,2026-02-23
MG Triângulo,311.5,315.0,2026-02-23
SP Araçatuba,328.0,332.0,2026-02-23
SP Barretos,328.0,332.0,2026-02-23
GO Reg. Sul,306.5,310.0,2026-02-23
BA Oeste,296.5,300.0,2026-02-23
MT Norte,316.5,320.0,2026-02-23
MT Cuiabá*,306.5,310.0,2026-02-23
MT Sudoeste,316.5,320.0,2026-02-23
RJ,311.5,315.0,2026-02-23
ES,305.5,309.0,2026-02-23
Acre,267.0,270.0,2026-02-23
TO Norte,296.5,300.0,2026-02-23
TO Sul,291.5,295.0,2026-02-23
RO Sudeste,291.5,295.0,2026-02-23
Roraima,272.0,275.0,2026-02-23
PA Redenção,294.5,298.0,2026-02-23
PA Paragominas,298.5,302.0,2026-02-23
PR Noroeste,331.0,335.0,2026-02-23
SC,326.0,330.0,2026-02-23
MT Sudeste,316.5,320.0,2026-02-23
Alagoas,296.5,300.0,2026-02-23
PA Marabá,296.5,300.0,2026-02-23
MA Oeste,286.5,290.0,2026-02-23
BA Sul,291.5,295.0,2026-02-24
RS Pelotas (kg),10.75,10.9,2026-02-24
RS Oeste (kg),10.95,11.1,2026-02-24
MS Três Lagoas,311.5,315.0,2026-02-24
MS C. Grande,311.5,315.0,2026-02-24
MS Dourados,309.5,313.0,2026-02-24
GO Goiânia,309.5,313.0,2026-02-24
BA Oeste,296.5,300.0,2026-02-24
MG Sul,311.5,315.0,2026-02-24
MG Norte,321.0,325.0,2026-02-24
MG B.Horizonte,314.5,318.0,2026-02-24
MG Triângulo,313.5,317.0,2026-02-24
SP Barretos,331.0,335.0,2026-02-24
GO Reg. Sul,306.5,310.0,2026-02-24
MT Norte,316.5,320.0,2026-02-24
SP Araçatuba,331.0,335.0,2026-02-24
MT Cuiabá*,306.5,310.0,2026-02-24
MT Sudoeste,316.5,320.0,2026-02-24
Roraima,272.0,275.0,2026-02-24
ES,305.5,309.0,2026-02-24
Acre,269.0,272.0,2026-02-24
TO Norte,296.5,300.0,2026-02-24
TO Sul,291.5,295.0,2026-02-24
RO Sudeste,291.5,295.0,2026-02-24
RJ,313.5,317.0,2026-02-24
PA Redenção,294.5,298.0,2026-02-24
PA Marabá,296.5,300.0,2026-02-24
Alagoas,296.5,300.0,2026-02-24
MA Oeste,291.5,295.0,2026-02-24
SC,331.0,335.0,2026-02-24
PR Noroeste,333.0,337.0,2026-02-24
PA Paragominas,301.5,305.0,2026-02-24
MT Sudeste,316.5,320.0,2026-02-24
MT Cuiabá*,311.5,315.0,2026-02-25
MT Sudeste,316.5,320.0,2026-02-25
PR Noroeste,336.0,340.0,2026-02-25
SC,331.0,335.0,2026-02-25
MA Oeste,296.5,300.0,2026-02-25
Alagoas,301.5,305.0,2026-02-25
RO Sudeste,291.5,295.0,2026-02-25
PA Redenção,296.5,300.0,2026-02-25
TO Sul,293.5,297.0,2026-02-25
TO Norte,298.5,302.0,2026-02-25
Acre,272.0,275.0,2026-02-25
MT Sudoeste,321.0,325.0,2026-02-25
ES,305.5,309.0,2026-02-25
PA Marabá,301.5,305.0,2026-02-25
MT Norte,321.0,325.0,2026-02-25
GO Reg. Sul,308.5,312.0,2026-02-25
BA Sul,291.5,295.0,2026-02-25
RS Pelotas (kg),10.75,10.9,2026-02-25
RS Oeste (kg),10.95,11.1,2026-02-25
MS Três Lagoas,311.5,315.0,2026-02-25
MS C. Grande,311.5,315.0,2026-02-25
MS Dourados,311.5,315.0,2026-02-25
GO Goiânia,311.5,315.0,2026-02-25
MG Sul,313.5,317.0,2026-02-25
MG Norte,321.0,325.0,2026-02-25
MG B.Horizonte,316.5,320.0,2026-02-25
MG Triângulo,316.5,320.0,2026-02-25
SP Araçatuba,331.0,335.0,2026-02-25
SP Barretos,331.0,335.0,2026-02-25
RJ,313.5,317.0,2026-02-25
BA Oeste,298.5,302.0,2026-02-25
Roraima,272.0,275.0,2026-02-25
PA Paragominas,301.5,305.0,2026-02-25
SP Araçatuba,331.0,335.0,2026-02-25
SP Barretos,331.0,335.0,2026-02-25
RJ,313.5,317.0,2026-02-25
ES,305.5,309.0,2026-02-25
Acre,269.0,272.0,2026-02-25
TO Norte,296.5,300.0,2026-02-25
TO Sul,291.5,295.0,2026-02-25
RO Sudeste,291.5,295.0,2026-02-25
PA Paragominas,301.5,305.0,2026-02-25
PA Marabá,296.5,300.0,2026-02-25
Alagoas,296.5,300.0,2026-02-25
MA Oeste,291.5,295.0,2026-02-25
SC,331.0,335.0,2026-02-25
PR Noroeste,333.0,337.0,2026-02-25
MT Sudeste,316.5,320.0,2026-02-25
MT Cuiabá*,306.5,310.0,2026-02-25
PA Redenção,294.5,298.0,2026-02-25
MT Norte,316.5,320.0,2026-02-25
MT Sudoeste,316.5,320.0,2026-02-25
MG B.Horizonte,314.5,318.0,2026-02-25
MG Norte,321.0,325.0,2026-02-25
MG Sul,311.5,315.0,2026-02-25
GO Goiânia,309.5,313.0,2026-02-25
GO Reg. Sul,306.5,310.0,2026-02-25
MS Dourados,309.5,313.0,2026-02-25
Roraima,272.0,275.0,2026-02-25
MS C. Grande,311.5,315.0,2026-02-25
MS Três Lagoas,311.5,315.0,2026-02-25
RS Oeste (kg),10.95,11.1,2026-02-25
RS Pelotas (kg),10.75,10.9,2026-02-25
BA Sul,291.5,295.0,2026-02-25
BA Oeste,296.5,300.0,2026-02-25
MG Triângulo,313.5,317.0,2026-02-25
MS Dourados,311.5,315.0,2026-02-26
RS Pelotas (kg),10.85,11.0,2026-02-26
RS Oeste (kg),11.2,11.35,2026-02-26
MS Três Lagoas,311.5,315.0,2026-02-26
MS C. Grande,311.5,315.0,2026-02-26
BA Sul,291.5,295.0,2026-02-26
SP Barretos,331.0,335.0,2026-02-26
GO Goiânia,311.5,315.0,2026-02-26
MG Sul,316.5,320.0,2026-02-26
MG Norte,321.0,325.0,2026-02-26
MG B.Horizonte,316.5,320.0,2026-02-26
MG Triângulo,316.5,320.0,2026-02-26
SP Araçatuba,331.0,335.0,2026-02-26
BA Oeste,298.5,302.0,2026-02-26
GO Reg. Sul,316.5,320.0,2026-02-26
MT Norte,321.0,325.0,2026-02-26
PA Redenção,301.5,305.0,2026-02-26
MT Cuiabá*,314.5,318.0,2026-02-26
MT Sudoeste,321.0,325.0,2026-02-26
Roraima,277.0,280.0,2026-02-26
RJ,316.5,320.0,2026-02-26
ES,306.5,310.0,2026-02-26
TO Norte,298.5,302.0,2026-02-26
TO Sul,296.5,300.0,2026-02-26
RO Sudeste,296.5,300.0,2026-02-26
Acre,277.0,280.0,2026-02-26
PA Marabá,301.5,305.0,2026-02-26
Alagoas,306.5,310.0,2026-02-26
MA Oeste,296.5,300.0,2026-02-26
SC,331.0,335.0,2026-02-26
PR Noroeste,341.0,345.0,2026-02-26
MT Sudeste,321.0,325.0,2026-02-26
PA Paragominas,301.5,305.0,2026-02-26
MS Dourados,311.5,315.0,2026-02-27
BA Sul,291.5,295.0,2026-02-27
RS Pelotas (kg),10.85,11.0,2026-02-27
RS Oeste (kg),11.2,11.35,2026-02-27
MS Três Lagoas,311.5,315.0,2026-02-27
MS C. Grande,311.5,315.0,2026-02-27
GO Reg. Sul,316.5,320.0,2026-02-27
SP Barretos,331.0,335.0,2026-02-27
BA Oeste,298.5,302.0,2026-02-27
MG Sul,316.5,320.0,2026-02-27
MG Norte,321.0,325.0,2026-02-27
MG B.Horizonte,316.5,320.0,2026-02-27
MG Triângulo,316.5,320.0,2026-02-27
SP Araçatuba,331.0,335.0,2026-02-27
GO Goiânia,316.5,320.0,2026-02-27
MT Norte,321.0,325.0,2026-02-27
RO Sudeste,296.5,300.0,2026-02-27
MT Cuiabá*,316.5,320.0,2026-02-27
MT Sudoeste,321.0,325.0,2026-02-27
Roraima,277.0,280.0,2026-02-27
RJ,316.5,320.0,2026-02-27
ES,306.5,310.0,2026-02-27
